#,id,created,deleted,last_updated,uuid_str,bbs_code,name_bn,name_en,created_by_id,updated_by_id,upazila_id,weight
46,46,2020-06-03 17:33:43,false,2020-06-03 17:33:43,320f09d4-bfd6-4d47-953d-3e2f3c7e89a4,23,হাটহাজারী পৌরসভা,Hathazari paurashava,,,69,0
47,47,2020-06-03 17:33:45,false,2020-06-03 17:33:45,ca224bb8-1b45-4b88-89cb-5e70d08bfee3,8,বারইয়ারহাট পৌরসভা,Baraiyarhat pourasabha,,,71,0
48,48,2020-06-03 17:33:46,false,2020-06-03 17:33:46,119722b8-642d-425f-aedc-41457a318540,25,মীরসরাই পৌরসভা,Mirsarai pourasabha,,,71,0
49,49,2020-06-03 17:33:47,false,2020-06-03 17:33:47,5d353546-5969-43fa-84df-e5483c6ea835,33,পটিয়া পৌরসভা,Patiya pourasabha,,,72,0
50,50,2020-06-03 17:33:49,false,2020-06-03 17:33:49,38cfa83d-cd32-4b9f-bb92-d9f7ffcbd182,41,রাঙ্গুনিয়া পৌরসভা,Rangunia pourasabha,,,73,0
51,51,2020-06-03 17:33:50,false,2020-06-03 17:33:50,fc870155-467e-467f-ba42-c4208ae1d62e,50,রাউজান পৌরসভা,Raozan pourasabha,,,74,0
52,52,2020-06-03 17:33:52,false,2020-06-03 17:33:52,317461bd-6e32-4cb9-92a3-bcec266f6eed,67,সন্দ্বীপ পৌরসভা,Sandwip pourasabha,,,75,0
53,53,2020-06-03 17:33:54,false,2020-06-03 17:33:54,d77f8cbb-79f6-4892-8233-7788ec727756,75,সাতকানিয়া পৌরসভা,Satkania pourasabha,,,76,0
54,54,2020-06-03 17:33:55,false,2020-06-03 17:33:55,5c9257d5-be72-48d3-99a7-f5f47a9013f9,83,সীতাকুণ্ড পৌরসভা,Sitakunda pourasabha,,,77,0
55,55,2020-06-03 17:34:00,false,2020-06-03 17:34:00,a7536298-fe3d-4f0b-8c59-87293bf275d2,16,বরুড়া পৌরসভা,Barura pourasabha,,,78,0
56,56,2020-06-03 17:34:02,false,2020-06-03 17:34:02,b7abd512-a393-4c8c-b21b-e2ee5ce28514,33,চান্দিনা পৌরসভা,Chandina pourashabha,,,81,0
57,57,2020-06-03 17:34:04,false,2020-06-03 17:34:04,2f5a7fc7-94de-4b73-bdcf-631735e44be4,37,চৌদ্দগ্রাম পৌরসভা,Chauddagram pourasabha,,,82,0
58,58,2020-06-03 17:34:06,false,2020-06-03 17:34:06,e88a9846-3b18-4a8e-b8fb-bc13037581ad,67,দাউদকান্দি পৌরসভা,Daudkandi pourasabha,,,84,0
59,59,2020-06-03 17:34:08,false,2020-06-03 17:34:08,c20cc33e-d382-4743-b677-1a856bfd4d79,70,দেবিদ্বার পৌরসভা,Debidwar pourasabha,,,85,0
60,60,2020-06-03 17:34:09,false,2020-06-03 17:34:09,f35b7faf-9db9-47dd-a938-fabb265b1d11,75,হোমনা পৌরসভা,Homna pourasabha,,,86,0
61,61,2020-06-03 17:34:10,false,2020-06-03 17:34:10,1904549b-1ef6-47c5-b11e-1deac10e783c,83,লাকসাম পৌরসভা,Laksam pourasabha,,,88,0
62,62,2020-06-03 17:34:15,false,2020-06-03 17:34:15,d4f5a752-e2d6-4a26-b645-d1191f5fcbbd,87,নাঙ্গলকোট পৌরসভা,Nangalkot pourasabha,,,92,0
63,63,2020-06-03 17:34:19,false,2020-06-03 17:34:19,cd3d6709-387d-4ad2-ac1a-7ef9e67b7932,33,চকরিয়া পৌরসভা,Chakaria pourasabha,,,94,0
64,64,2020-06-03 17:34:20,false,2020-06-03 17:34:20,73bfc158-64bc-49ab-a391-dc0bcac9df3a,66,কক্সবাজার পৌরসভা,Coxs bazar pourasabha,,,95,0
65,65,2020-06-03 17:34:22,false,2020-06-03 17:34:22,e2c0e944-ebfb-4eed-b788-d7359e26e2b5,77,মহেশখালী পৌরসভা,Maheshkhali pourasabha,,,97,0
66,66,2020-06-03 17:34:24,false,2020-06-03 17:34:24,6eb8594a-6863-49a1-ac8f-6dd5a225b762,88,টেকনাফ পৌরসভা,Teknaf pourasabha,,,100,0
67,67,2020-06-03 17:34:25,false,2020-06-03 17:34:25,88f2c154-ba19-40cb-96a0-e4af47dabfe7,15,ছাগলনাইয়া পৌরসভা,Chhagalnaiya pourasabha,,,102,0
68,68,2020-06-03 17:34:26,false,2020-06-03 17:34:26,0b62dc4c-e86f-4d26-88a3-a21b2dc1f565,30,দাগনভূঞা পৌরসভা,Daganbhuiyan pourasabha,,,103,0
69,69,2020-06-03 17:34:28,false,2020-06-03 17:34:28,d4815d5d-b806-4e00-9e94-fac4846421c0,50,ফেনী পৌরসভা,Feni pourasabha,,,104,0
70,70,2020-06-03 17:34:30,false,2020-06-03 17:34:30,e1775066-3216-4233-b1ad-6d8c85a778fa,65,পরশুরাম পৌরসভা,Parashuram pourasabha,,,106,0
71,71,2020-06-03 17:34:31,false,2020-06-03 17:34:31,7c124492-cb81-4e35-b32a-295edd2142ee,80,সোনাগাজী পৌরসভা,Sonagazi pourasabha,,,107,0
72,72,2020-06-03 17:34:32,false,2020-06-03 17:34:32,6c008eee-bc15-4537-8135-676d3f5f9537,50,খাগড়াছড়ি পৌরসভা,Khagrachhari pourasabha,,,110,0
73,73,2020-06-03 17:34:34,false,2020-06-03 17:34:34,343e7de7-0d1f-404b-80cd-6972afa54c0f,62,মাটিরাঙ্গা পৌরসভা,Matiranga pourasabha,,,113,0
74,74,2020-06-03 17:34:35,false,2020-06-03 17:34:35,26153a8e-336e-4aaa-9b62-daf1cce3fbef,75,রামগড় পৌরসভা,Ramgarh pourasabha,,,115,0
75,75,2020-06-03 17:34:38,false,2020-06-03 17:34:38,f90c2b13-01f5-4e64-bd97-e6617ecccc87,25,লক্ষ্মীপুর পৌরসভা,Lakshmipur pourasabha,,,117,0
76,76,2020-06-03 17:34:41,false,2020-06-03 17:34:41,2da91ca9-e1eb-41a7-99a3-b385bae08792,50,রায়পুর পৌরসভা,Raipur pourasabha,,,118,0
77,77,2020-06-03 17:34:43,false,2020-06-03 17:34:43,61b4b5a2-e09a-4747-8293-a486e70f1fb4,75,রামগঞ্জ পৌরসভা,Ramganj pourasabha,,,119,0
78,78,2020-06-03 17:34:44,false,2020-06-03 17:34:44,21133975-3477-42f2-9480-f23f69db9f47,87,রামগতি পৌরসভা,Ramgati pourasabha,,,120,0
79,79,2020-06-03 17:34:45,false,2020-06-03 17:34:45,b3b46696-22bc-4643-8f8e-beea0daf4eb1,33,চৌমুহনী পৌরসভা,Choumuhani pourasabha,,,121,0
80,80,2020-06-03 17:34:47,false,2020-06-03 17:34:47,4cfcca6e-978b-4a6b-82e7-6a8ad903a541,50,চাটখিল পৌরসভা,Chatkhil pourasabha,,,122,0
81,81,2020-06-03 17:34:48,false,2020-06-03 17:34:48,79b25433-8778-4158-8c74-e355f2396df1,16,বসুরহাট পৌরসভা,Basurhat pourasabha,,,123,0
82,82,2020-06-03 17:34:49,false,2020-06-03 17:34:49,b8b99db8-955a-4769-94c9-97eb1f82ce12,60,হাতিয়া পৌরসভা,Hatiya pourasabha,,,124,0
83,83,2020-06-03 17:34:50,false,2020-06-03 17:34:50,d64ae83c-b66f-443c-895f-30007742e478,66,কবিরহাট পৌরসভা,Kabirhat pourasabha,,,510,0
84,84,2020-06-03 17:34:51,false,2020-06-03 17:34:51,726c5006-09b2-4cb1-ab34-dc637d791942,75,সেনবাগ পৌরসভা,Senbag pourasabha,,,125,0
